Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Scottie Barnes,22,57,57,2002,7.7,16.1,0.476,1.8,5.1,0.35,5.9,11.0,0.534,3.4,4.4,0.782,2.4,6.0,8.4,6.1,1.3,1.5,2.8,2.0,20.5
2,Dennis Schröder,30,51,33,1559,5.7,12.9,0.442,1.8,5.1,0.35,3.9,7.8,0.501,2.9,3.4,0.852,0.5,2.7,3.2,7.2,1.1,0.2,1.9,2.4,16.1
3,Gary Trent Jr.,25,52,22,1379,5.9,14.0,0.42,3.3,7.9,0.419,2.6,6.1,0.421,0.9,1.3,0.7,0.3,2.7,3.0,2.1,1.3,0.2,0.9,1.7,16.0
4,Pascal Siakam,29,39,39,1354,8.6,16.6,0.522,1.2,3.9,0.317,7.4,12.7,0.584,4.5,5.9,0.758,1.4,5.1,6.5,5.1,0.9,0.3,2.2,2.3,23.0
5,Jakob Poeltl,28,46,46,1229,6.6,10.0,0.662,0.0,0.0,,6.6,10.0,0.662,1.6,3.0,0.554,3.9,7.7,11.6,3.3,0.9,2.1,2.2,4.0,14.8
6,OG Anunoby,26,27,27,900,6.3,12.8,0.489,2.4,6.5,0.374,3.8,6.3,0.608,1.3,1.8,0.717,1.0,3.3,4.2,2.9,1.1,0.5,1.7,2.5,16.3
7,Immanuel Quickley,24,22,22,710,6.4,15.7,0.41,3.2,7.5,0.429,3.2,8.3,0.393,2.8,3.3,0.833,0.4,4.3,4.7,6.3,0.8,0.2,1.4,2.1,18.9
8,RJ Barrett,23,20,20,669,8.4,15.5,0.542,1.5,4.0,0.373,6.9,11.5,0.601,3.3,5.3,0.626,1.2,6.1,7.3,4.0,0.7,0.4,2.3,2.9,21.6
9,Chris Boucher,31,47,0,645,5.6,11.4,0.49,1.6,5.0,0.322,4.0,6.4,0.623,3.6,4.7,0.753,3.1,7.4,10.5,1.1,0.8,1.2,1.2,3.5,16.4
10,Gradey Dick,20,36,1,558,4.8,11.5,0.421,2.5,6.8,0.358,2.4,4.6,0.514,1.5,1.6,0.92,1.0,3.0,4.0,2.6,1.2,0.0,1.4,3.1,13.6
11,Malachi Flynn,25,31,0,474,4.3,10.4,0.409,2.1,6.1,0.35,2.1,4.3,0.491,1.3,1.7,0.773,1.0,3.9,4.9,5.5,1.4,0.5,2.5,3.2,11.9
12,Precious Achiuwa,24,25,0,437,6.4,14.0,0.459,1.1,3.9,0.277,5.4,10.1,0.528,2.0,3.5,0.571,4.1,7.1,11.2,3.6,1.3,1.0,2.4,3.3,15.9
13,Bruce Brown,27,16,5,421,5.1,11.1,0.462,0.8,2.7,0.281,4.4,8.4,0.52,2.0,2.0,1.0,1.3,4.4,5.6,3.2,1.1,0.7,1.3,2.8,13.0
14,Thaddeus Young,35,23,6,350,5.6,8.9,0.621,0.1,0.6,0.167,5.5,8.3,0.654,0.5,1.2,0.417,3.0,4.7,7.7,5.1,1.9,0.3,1.1,3.9,11.7
15,Jalen McDaniels,26,34,0,299,4.2,12.8,0.33,1.3,6.4,0.208,2.9,6.4,0.453,1.7,2.4,0.7,1.1,4.0,5.1,2.0,1.3,0.4,2.2,3.6,11.4
16,Jontay Porter,24,17,5,221,4.2,11.4,0.371,2.0,6.0,0.324,2.3,5.4,0.424,1.8,2.0,0.917,2.8,6.0,8.8,4.9,2.0,1.8,1.6,4.6,12.2
17,Otto Porter Jr.,30,15,1,174,2.9,6.8,0.424,1.7,4.8,0.348,1.2,2.1,0.6,0.6,0.6,1.0,1.2,4.8,6.0,1.7,1.0,1.0,0.4,3.9,8.1
18,Jordan Nwora,25,12,1,143,5.0,13.1,0.385,2.3,6.3,0.36,2.8,6.8,0.407,4.8,5.3,0.905,1.3,5.5,6.8,4.0,1.5,0.5,1.8,3.5,17.1
19,Kelly Olynyk,32,5,0,91,6.7,13.8,0.486,0.8,4.0,0.2,5.9,9.9,0.6,4.0,4.0,1.0,2.4,6.3,8.7,4.7,2.8,1.2,1.6,5.5,18.2
20,Ochai Agbaji,23,5,0,73,5.4,12.8,0.423,2.5,7.4,0.333,3.0,5.4,0.545,1.0,1.5,0.667,2.0,2.0,3.9,2.0,1.5,1.0,3.5,3.5,14.3
21,Garrett Temple,37,16,0,69,4.2,11.0,0.381,1.0,4.7,0.222,3.1,6.3,0.5,2.6,3.1,0.833,2.6,3.1,5.7,3.1,1.6,0.0,2.6,3.1,12.0
22,Mouhamadou Gueye,25,1,0,6,6.0,18.0,0.333,0.0,0.0,,6.0,18.0,0.333,0.0,0.0,,12.0,6.0,18.0,0.0,0.0,12.0,0.0,6.0,12.0
23,Markquis Nowell,24,1,0,4,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,18.0,18.0,1.0,18.0,0.0,18.0,18.0,9.0,0.0,0.0,0.0,18.0
24,Ron Harper Jr.,23,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0
25,Javon Freeman-Liberty,24,2,0,4,9.0,27.0,0.333,0.0,0.0,,9.0,27.0,0.333,0.0,0.0,,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0
26,D.J. Carton,23,1,0,4,9.0,9.0,1.0,0.0,0.0,,9.0,9.0,1.0,9.0,9.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,18.0,27.0
27,Kira Lewis Jr.,22,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
